NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Broad Brook CDP, Connecticut",4504,32.1,2.73,1170,502,3907,193,507,2069,2435,181,17,254,52,1703,1645,58,1068,577,234100,1140,839,171,235,1703,839,259,58,1645,73729,33917,186,2671,381,4488,2485,94,2408,2448,09,08770,Connecticut,2015
"New Britain city, Connecticut",72988,33.9,2.51,14863,5334,49872,7934,29293,34672,38316,1995,1603,2490,641,31670,27858,3812,11224,16634,159900,892,9061,918,5971,31670,7326,1055,3812,27858,40457,21470,4711,37283,16380,70153,32572,1558,31248,31808,09,50370,Connecticut,2015
"Heritage Village CDP, Connecticut",3934,71.6,1.47,1027,684,3889,0,202,1480,2454,53,0,27,38,3025,2655,370,2096,559,148700,1402,268,1263,610,3025,869,102,370,2655,51590,42885,90,1119,83,3914,1029,23,923,974,09,37930,Connecticut,2015
"North Grosvenor Dale CDP, Connecticut",1707,36.2,2.61,176,70,1661,0,0,796,911,108,10,56,12,707,654,53,265,389,183900,922,265,0,252,707,159,77,53,654,63000,26369,132,1015,175,1707,883,29,846,883,09,54730,Connecticut,2015
"Cheshire Village CDP, Connecticut",5730,47.4,2.47,694,1200,5106,74,201,2717,3013,88,33,187,54,2334,2258,76,1847,411,313100,951,1749,89,50,2334,1238,225,76,2258,96983,42932,122,3018,146,5602,2896,62,2654,2878,09,14200,Connecticut,2015
"West Haven city, Connecticut",55189,36.2,2.59,11175,4994,35787,11803,11334,27121,28068,1385,1177,1619,725,22290,20137,2153,11110,9027,200800,1084,10516,989,2639,22290,8198,1462,2153,20137,50846,26143,3674,30645,7481,52069,26943,812,25353,26149,09,82800,Connecticut,2015
"Collinsville CDP, Connecticut",3518,45.4,2.25,431,605,3424,11,313,1550,1968,8,18,96,32,1584,1518,66,1023,495,263100,1189,850,147,196,1584,708,158,66,1518,82639,45597,109,1965,84,3420,1856,5,1717,1831,09,16120,Connecticut,2015
"Hartford city, Connecticut",124795,30.3,2.58,18575,6639,45619,47833,55208,60589,64206,4608,2982,4751,790,52737,45239,7498,10743,34496,161400,890,7860,2273,7139,52737,8267,1628,7498,45239,30630,17311,11745,60592,39367,117763,48847,6155,46283,47709,09,37000,Connecticut,2015
"Tariffville CDP, Connecticut",1272,40.4,2.17,166,198,1170,68,51,611,661,22,10,39,0,585,585,0,439,146,207700,942,301,63,91,585,369,62,0,585,57083,36776,71,804,80,1264,733,0,696,696,09,75100,Connecticut,2015
"Oxoboxo River CDP, Connecticut",3081,46.3,2.35,842,230,2934,17,112,1692,1389,40,36,124,57,1539,1296,243,1028,268,177100,1181,1014,0,143,1539,621,79,243,1296,56404,31154,142,1649,131,3052,1507,34,1443,1477,09,58520,Connecticut,2015
"Coventry Lake CDP, Connecticut",3393,42.6,2.60,792,357,3326,0,120,1728,1665,82,124,58,0,1446,1304,142,1194,110,175900,1404,1401,12,17,1446,987,165,142,1304,79083,33709,141,2106,134,3393,1965,29,1842,1877,09,17835,Connecticut,2015
"Storrs CDP, Connecticut",15914,20.4,2.01,372,197,12395,786,910,7463,8451,21,3002,3,10,1817,1592,225,536,1056,239700,1154,491,70,44,1817,278,48,225,1592,30183,7958,595,8445,1378,3208,7850,36,5651,5938,09,73980,Connecticut,2015
