NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"New Haven County, Connecticut",862224,39.8,2.56,159183,108647,646775,110719,141282,415679,446545,23533,13480,26596,8469,362351,326028,36323,204886,121142,245200,1061,193790,18754,35126,362351,142134,30469,36323,326028,61640,32852,44190,464630,108533,835886,419901,12831,396837,412044,09,009,Connecticut,2015
"Litchfield County, Connecticut",186304,46.0,2.46,35106,26350,174220,2827,9649,91740,94564,4218,2245,4568,2399,87447,74518,12929,57397,17121,254600,955,65074,3134,6187,87447,39969,9366,12929,74518,72061,38530,7533,105846,12893,184074,98294,1448,91231,96068,09,005,Connecticut,2015
"Hartford County, Connecticut",896943,40.1,2.51,144969,126856,651466,120172,148744,434784,462159,24744,12573,28260,8750,374453,346362,28091,224000,122362,236400,992,206359,21605,30205,374453,156517,33197,28091,346362,66395,35611,45312,485454,104196,872464,439719,15160,414492,430053,09,003,Connecticut,2015
"New London County, Connecticut",273185,40.7,2.45,51507,33415,222560,15345,26167,136570,136615,7094,4246,8289,2966,121258,106495,14763,70847,35648,244000,1022,79021,5003,8165,121258,48296,9719,14763,106495,66233,34208,12009,151814,25766,260973,132990,3566,130753,137090,09,011,Connecticut,2015
"Tolland County, Connecticut",151948,38.1,2.49,22621,20417,135481,4752,7387,76134,75814,3137,4716,4012,1394,58383,54467,3916,39880,14587,247700,1040,41146,2371,2450,58383,27906,6154,3916,54467,79626,35446,5869,86098,9511,136029,80190,1665,73234,76611,09,013,Connecticut,2015
"Fairfield County, Connecticut",939983,39.7,2.76,130027,162883,694797,105683,171720,457634,482349,27821,13318,27695,8646,363556,334320,29236,228381,105939,416000,1348,210931,24787,31230,363556,163508,40041,29236,334320,84233,50137,45798,509716,82743,921988,463610,8093,427748,452977,09,001,Connecticut,2015
"Windham County, Connecticut",117470,40.4,2.53,22998,11156,106086,2620,12376,58212,59258,3143,1924,3430,1147,49176,44276,4900,31184,13092,197500,847,33031,2133,3934,49176,22369,4693,4900,44276,59392,28140,6006,64997,11999,112337,58842,2456,54835,56841,09,015,Connecticut,2015
"Middlesex County, Connecticut",165165,44.2,2.40,28382,26277,146977,8383,9183,80854,84311,3957,2371,4373,1810,75162,66117,9045,49652,16465,285100,1095,53589,2849,4113,75162,34463,7252,9045,66117,79893,41277,5575,93615,10710,159552,87871,1262,82552,86668,09,007,Connecticut,2015
"Vernon Parish, Louisiana",52476,30.0,2.82,9192,4247,40395,7487,4713,27435,25041,2508,815,2267,315,21649,17842,3807,9547,8295,98000,913,10461,1599,1339,21649,4452,207,3807,17842,46312,21578,1430,24480,7403,50278,17705,399,22124,22617,22,115,Louisiana,2015
"Sabine Parish, Louisiana",24248,41.5,2.60,5505,1499,17087,4061,905,12059,12189,822,264,629,412,14344,9171,5173,7049,2122,79900,496,7878,99,303,14344,2628,179,5173,9171,38828,22605,1048,9854,4626,23694,8803,103,8099,8361,22,085,Louisiana,2015
